id,text,date,likes_count,comments_count,reposts_count,views_count,url_photos
223858,"⏱️ 42

#Родина2Ротор | 1:0",2024-05-19 15:43:23,12,0,0,754,[]
223857,"⏱️ 38

#Родина2Ротор | 1:0",2024-05-19 15:39:28,7,1,0,748,[]
223853,"⏱️ 22

#Родина2Ротор | 0:0",2024-05-19 15:24:58,11,4,1,1095,[]
223846,,2024-05-19 14:59:26,16,5,4,1347,[]
223836,"Разминка пошла 🏃‍♀

#Родина2Ротор уже через полчаса",2024-05-19 14:30:00,30,0,1,1625,[]
223821,"Наш состав на матч с «Родиной-2» 🔝

#ЖдётПобедыВолгоград",2024-05-19 14:00:03,52,14,6,1324,['https://sun150-1.userapi.com/impg/NsKt4-LitKMLxEAvjHHClS-VSRes6ulfFwgSGg/iVF-84ySxpo.jpg?size=510x637&quality=95&sign=f049258251310c0320cea2fba65dde97&c_uniq_tag=a8oytD33lXEzTCo-taWaVMTzHXdDBi6L1f-BvfTOtXs&type=album']
223807,"Сегодня, 19 мая, свой 45-й день рождения отмечает президент Федерации футбола Волгоградской области Михаил Иванович Шабунин 🎉

От лица СК «Ротор» поздравляем Михаила Ивановича с юбилеем! Желаем крепкого здоровья, благополучия, душевных сил, верных и справедливых решений на благо развития Волгоградского футбола!

#ЗаРотор",2024-05-19 13:25:00,28,0,0,1257,"['https://sun150-2.userapi.com/impg/ds_oBFMDR3u5lVlA62FPWjtBP6MrSvvts65YRg/yo-O2xeuxyc.jpg?size=510x340&quality=95&crop=22,0,1936,1291&sign=362d3f338ca131e6bc439b998e259d05&c_uniq_tag=OVDr1C2TzXgiRgqUa4mswpsstoZ13eh759O2KSVkUck&type=album']"
223805,На месте 🫡,2024-05-19 13:24:27,35,0,1,1204,[]
223781,"Друзья, объявляем перекличку городов 😏

Пишите в комментариях, какой город сегодня #ЗаРотор 👇",2024-05-19 13:00:02,81,51,0,2616,"['https://sun150-1.userapi.com/impg/OuXg9G9IP1SrxD81_iduKFoW_2L3cS6s6Vt-KQ/46WbBtSV7sQ.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=9967cdc9071d8f780da6d730ee1a7c85&c_uniq_tag=U8TkjZzo3bzTZsQQ7URweOZSfeh6_qBbQb6_WKAN2b4&type=album']"
223770,Стадион к матчу «Родина-2» - «Ротор» готов ⚔,2024-05-19 12:00:03,68,4,2,1916,[]
223765,Сегодня играем в белом ⚪,2024-05-19 11:30:00,86,6,2,2818,['https://sun150-2.userapi.com/impg/-fXTcp6MNsyLmBzGdp9yMuK1vr3zAR8q852lPw/1vAk_YCzXf0.jpg?size=510x680&quality=95&sign=f0c9640246f95c55e92c95b10d4c6cd4&c_uniq_tag=jzSbBRYwU0SqAvwqfSPPTtEsA5XiZrSumb2lSGTHQL8&type=album']
